Title,Year,Type,Actors,Supporting_Text
"Yosemite Grant",1864,"Policy","U.S. Congress, State of California","In 1864, with the Yosemite Grant, the US Congress gave a small part of the present Yosemite National Park to the State of California for "public use, resort and recreation"."
"IUCN protected area management categories (1994 revision)",1994,"Standard","IUCN","In 1994, IUCN adopted a revised system of six management categories."
"Convention on Biological Diversity",None,"Treaty","","has recently been endorsed by the parties to the Convention on Biological Diversity."
"World Heritage Convention",None,"Treaty","","there are international networks of protected areas at the global level (e.g. those under the World Heritage ... Conventions)"
"Ramsar Convention",None,"Treaty","","there are international networks of protected areas at the global level (e.g. those under the World Heritage and Ramsar Conventions)"
"Natura 2000",None,"Programme","","there are international networks of protected areas at the regional level (e.g. Natura 2000 in Europe)"
"Pan American Convention on Nature Protection and Wildlife Preservation in the Western Hemisphere",1942,"Treaty","Pan American","In 1942, the Pan American Convention on Nature Protection and Wildlife Preservation in the Western Hemisphere also incorporated four types: national park, national reserve, nature monument and strict wilderness reserve (Brockman, 1962)."
"Resolution of the 27th session of the United Nations Economic and Social Council (ECOSOC)",1959,"Resolution","United Nations Economic and Social Council (ECOSOC)","A 1959 resolution of the 27th session of the United Nations Economic and Social Council (ECOSOC) recognised that "national parks and equivalent reserves are important factors in the wise use of natural resources"."
"World List of National Parks and Equivalent Reserves",1961,"Report","IUCN","In response, IUCN's new protected areas commission compiled a 300-page ""World List of National Parks and Equivalent Reserves"". This - the first version of the now familiar ""UN List"" of protected areas - was published in 1961 and presented at the Seattle First World Conference on National Parks i..."
"Resolution of the 16th Session of the General Assembly of the United Nations on ""Economic Development and Nature Conservation""",1962,"Resolution","United Nations General Assembly","The ECOSOC decision was endorsed by a resolution of the 16th Session of the General Assembly of the United Nations (December 1962), on 'Economic Development and Nature Conservation' (IUCN/WCMC, 1998)."
"World List of National Parks and Equivalent Reserves (second edition)",1966,"Report","IUCN, Sir Hugh Elliott, Jean‑Paul Harroy","In 1966, IUCN published the second version of the list, prepared by Sir Hugh Elliott, under the guidance of the new chair of the Commission on National Parks, Jean‑Paul Harroy (a French version was published a year later)."
"Development of a Classification System for Protected Natural and Cultural Areas",1972,"Paper","IUCN, Dr Ray Dasmann","IUCN's Senior Ecologist, Dr Ray Dasmann, wrote a paper on the Development of a Classification System for Protected Natural and Cultural Areas for the Second World Conference on National Parks (1972), which was published a year later (IUCN, 1973) and then in the proceedings of the congress (Dasmann, ..."
"World Directory of National Parks and Protected Areas",1975,"Directory","IUCN","IUCN published further editions of the UN List between 1971 and 1975, and the World Directory of National Parks and Protected Areas in 1975."
"Man and Biosphere Programme",1971,"Programme","","New international programmes and treaties were making an impact (e.g.: the Man and Biosphere Programme, initiated in 1971; the Ramsar Wetlands Convention, 1971; and the World Heritage Convention, 1972)."
"Ramsar Wetlands Convention",1971,"Treaty","","New international programmes and treaties were making an impact (e.g.: the Man and Biosphere Programme, initiated in 1971; the Ramsar Wetlands Convention, 1971; and the World Heritage Convention, 1972)."
"World Heritage Convention",1972,"Treaty","","New international programmes and treaties were making an impact (e.g.: the Man and Biosphere Programme, initiated in 1971; the Ramsar Wetlands Convention, 1971; and the World Heritage Convention, 1972)."
"1978 IUCN Report on Categories, Objectives and Criteria for PAs",1978,"Report","International Union for Conservation of Nature (IUCN), Conservation and Nature Protection Association (CNPPA), Rockefeller Foundation, Dr Kenton Miller","The 1978 IUCN Report on Categories, Objectives and Criteria for PAs ... Its final report was published in August 1978."
"1969 New Delhi definition of national park",1969,"Standard","","The committee incorporated the agreed 1969 New Delhi definition of national park, but recognised that this was only one approach among many to protected areas conservation."
"World Heritage Convention",None,"Treaty","","help IUCN play its part in international initiatives, such as the World Heritage Convention"
"UN list of protected areas",1993,"Report","United Nations (UN)","it was used in compiling the 1993 UN list of protected areas (which set out protected areas under Categories I-V)."
"Recommendation 17",None,"Recommendation","Caracas Congress, CNPPA, IUCN Council","Acting on the workshop's conclusions, the Caracas Congress adopted Recommendation 17, urging CNPPA and the IUCN Council to: endorse a system of six protected area categories based on management objectives; recommend this to governments; and explain it through guidelines."
"Guidelines for Protected Area Management Categories",1994,"Guideline","International Union for Conservation of Nature (IUCN), World Conservation Monitoring Centre (WCMC)","Later in 1994, IUCN and the World Conservation Monitoring Centre (WCMC) published Guidelines for Protected Area Management Categories, in English, French and Spanish (IUCN/WCMC, 1994)."
"1994 Guidelines",1994,"Guideline","IUCN, World Commission on Protected Areas (WCPA)","A number of important principles are set out in the 1994 Guidelines to help explain the system: … A chapter in Part I of the 1994 Guidelines deals with the application of the categories system … Part II of the 1994 Guidelines set out the following for each category: ■ A Definition; ■ Objectives of M..."
"Best Practice Protected Area Guidelines Series",None,"Guideline","IUCN, Cardiff University","the publications in the IUCN/Cardiff University Best Practice Protected Area Guidelines Series, which promotes the use of the system in all eleven volumes published to date"
"United Nations List of Protected Areas",1997,"Report","United Nations","The publication of the United Nations List of Protected Areas (1997 and 2003 versions) which classifies individual protected areas by the management category to which they have been assigned"
"Position statement on mining and protected areas",1998,"Statement","WCPA","A position statement on mining and protected areas, developed by WCPA 1998, which argued that governments and others should ensure that mining operations of all kinds were excluded from protected area Categories I-IV."
"Recommendation 2.82",2000,"Recommendation","IUCN World Conservation Congress","This principle was taken up in a recommendation (number 2.82) adopted by the IUCN World Conservation Congress in Amman (2000)"
