Name,Type,Role,Country,Description,Supporting_Text
"FAO","Organization","Maintains community‑based forestry as a priority area, supports capacity‑building and policy reform.","International","Food and Agriculture Organization of the United Nations, a specialised UN agency. Food and Agriculture Organization of the United Nations, a specialized UN agency dealing with agriculture, forestry, a...","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"Don Gilmour","Individual","Researcher and author who compiled and analyzed evidence on community‑based forestry, contributing scholarly insight that supports the shift toward production and consumption practices aligned with ecological regeneration.","None","Author of the FAO Forestry Paper titled “Forty years of community‑based forestry: A review of its extent and effectiveness.”","FAO FORESTRY PAPER Don Gilmour"
"Rights and Resources Initiative (RRI)","NGO","Conducted regional and global assessments of community‑based forestry to track changes in forest tenure and management.","None","An international non‑governmental organization that researches and advocates for secure rights to natural resources.","Both FAO and the Rights and Resources Initiative (RRI) have carried out regional and global assessments to chart these changes."
"Center for People and Forests (RECOFTC)","Organization","Provided the definition of community‑based forestry used as the umbrella description in the report.","None","Formerly the Regional Community Forestry Training Center, a research and capacity‑building organization focused on community forestry.","Box 1 provides a more complete definition of CBF as it is presented in this report, based on the definition used by the Center for People and Forests (RECOFTC, formerly the Regional Community Forestry Training Center)."
"IUCN","Organization","Contributed to the technical definition of Sustainable Forest Management referenced in the report.","None","International Union for Conservation of Nature, a global authority on conservation and sustainable use of natural resources.","SFM refers to the stewardship and use of forests… (IUCN, PROFOR and World Bank, 2004)."
"PROFOR","Organization","Co‑authored the technical definition of Sustainable Forest Management cited in the report.","None","Program on Forests, a research programme that works on forest policy and management.","SFM refers to the stewardship and use of forests… (IUCN, PROFOR and World Bank, 2004)."
"World Bank","Organization","Developed the Forest Carbon Partnership Facility to broker carbon‑offset transactions and fund capacity‑building for REDD+ and related projects.","International","International development bank that offers conditional loans to governments. International financial institution that provides loans and technical assistance to developing countries. International fin...","The World Bank has developed a Forest Carbon Partnership Facility to prepare developing countries to participate in a carbon offset market for forestry projects."
"Menton","Individual","Analyzed CBF initiatives and highlighted the lack of comprehensive assessments of their effectiveness.","None","Researcher co‑author of a study reviewing CBF initiatives in the Peruvian Amazon.","Menton and Cronkleton (2014, p. 1), following a review of CBF initiatives in the Peruvian Amazon, reached the conclusion that ""even though there has been a great deal of research documenting forest use by rural people ... We couldn't find any comprehensive assessments of the effectiveness of existi..."
"Cronkleton","Individual","Analyzed CBF initiatives and highlighted the lack of comprehensive assessments of their effectiveness.","None","Researcher co‑author of a study reviewing CBF initiatives in the Peruvian Amazon.","Menton and Cronkleton (2014, p. 1), following a review of CBF initiatives in the Peruvian Amazon, reached the conclusion that ""even though there has been a great deal of research documenting forest use by rural people ... We couldn't find any comprehensive assessments of the effectiveness of existi..."
"Food and Agriculture Organization (FAO)","Organization","Provides research, statistics and policy recommendations that document the emergence of community‑based forestry and advocate for people’s participation in forest management.","International","United Nations agency focused on food security and sustainable agriculture. United Nations agency that collects and analyses data on forests and issues policy guidance on community‑based forestry.","FAO (2010a, pp. 236−237) recorded them as being forests where "communities" are the "holder(s) of management rights of public forests"."
"France","Government","Manages communal forest estates as public forests, illustrating a form of communal management that is noted but excluded from CBF regimes in the report.","France","European nation whose public forests are managed by local government authorities rather than discrete community groups.","France and Switzerland remain the only two countries in Europe in which significant areas of the forest estate are managed through some form of communal management rights (FAO, 2010a). However, in both these countries the commune forests are public forests managed by local government authorities and..."
"Switzerland","Government","Manages communal forest estates as public forests, illustrating a form of communal management that is noted but excluded from CBF regimes in the report.","Switzerland","European nation whose public forests are managed by local government authorities rather than discrete community groups.","France and Switzerland remain the only two countries in Europe in which significant areas of the forest estate are managed through some form of communal management rights (FAO, 2010a). However, in both these countries the commune forests are public forests managed by local government authorities and..."
"International Union for Conservation of Nature (IUCN)","NGO","Provides regional data on indigenous and pre‑modern forest management regimes, informing the historical context of community‑based forestry.","International","A global union of government and civil society organisations working on nature conservation and sustainable use. Global conservation organization that compiles information on forest management regimes...","IUCN, 2000 for Mesoamerica"
