Title,Year,Type,Actors,Supporting_Text
"Forty years of community-based forestry: A review of its extent and effectiveness",None,"Report","FAO, Don Gilmour","Forty years of community-based forestry A review of its extent and effectiveness

FAO FORESTRY PAPER Don Gilmour"
"FAO 2001 review of 25 years of community forestry",2001,"Report","Food and Agriculture Organization (FAO)","This follows the approach taken in FAO's 2001 review of 25 years of community forestry (Arnold, 2001)."
"FAO 2012b definition of participatory forestry",2012,"Standard","Food and Agriculture Organization (FAO)","FAO (2012b) has defined participatory forestry as: "processes and mechanisms which enable people with a direct stake in forest resources to be part of decision-making in all aspects of forest management, including policy formulation processes"."
"Forestry for local community development",1978,"Report","Food and Agriculture Organization (FAO)","The emergence, growth and evolution of community-based forestry as a formally recognizable modality of forest management can be traced back to the seminal paper Forestry for local community development (FAO, 1978)."
"UN Declaration on the Rights of Indigenous Peoples",2007,"Declaration","United Nations","The United Nations (UN) Declaration on the Rights of Indigenous Peoples (adopted by the UN in 2007) has given additional impetus to this movement."
"Forests, Trees and People Programme (FTPP)",None,"Programme","FAO","FAO's Forests, Trees and People Programme (FTPP), with its regional hubs, was an important platform for developing and supporting networks to exchange information and share experiences."
"Social Forestry Network",None,"Other","Overseas Development Institute","Similarly, the Social Forestry Network (subsequently the Rural Development Forestry Network) of the Overseas Development Institute in the United Kingdom was influential in spreading ideas and experiences to practitioners and policy-makers around the world."
"Rural Development Forestry Network",None,"Other","Overseas Development Institute","Similarly, the Social Forestry Network (subsequently the Rural Development Forestry Network) of the Overseas Development Institute in the United Kingdom was influential in spreading ideas and experiences to practitioners and policy-makers around the world."
"IPF/IFF Proposals for Action",None,"Other","Intergovernmental Panel on Forests (IPF), Intergovernmental Forum on Forests (IFF), United Nations Forum on Forests (UNFF)","The successor to IPF and IFF, the United Nations Forum on Forests (UNFF), incorporated the IPF/IFF Proposals for Action into its Multi-Year Programme of Work."
"UNFF Multi-Year Programme of Work 2007‑2015",None,"Programme","United Nations Forum on Forests (UNFF)","Among the major themes of the 2007−2015 Programme of Work were community-based forest management; social development and indigenous and other local and forest‑dependent communities, including forest land tenure; and social and cultural aspects (UNFF, 2007)."
"2030 Agenda for Sustainable Development",2015,"Agenda","United Nations","These initiatives include in particular the 2030 Agenda for Sustainable Development and the Sustainable Development Goals."
"Sustainable Development Goals",2015,"Agenda","United Nations","In September 2015 the United Nations adopted a set of 17 Sustainable Development Goals (SDGs) which provide an overarching policy framework to guide the world's development agenda until 2030 (UN, 2015)."
"Forest Carbon Partnership Facility",None,"Programme","World Bank","The World Bank has developed a Forest Carbon Partnership Facility to prepare developing countries to participate in a carbon offset market for forestry projects."
"Programme for the Endorsement of Forest Certification (PEFC)",1999,"Programme","Programme for the Endorsement of Forest Certification (PEFC)","The Programme for the Endorsement of Forest Certification (PEFC) was founded in 1999 in response to the specific requirements of small, family‑owned and community forests as an international umbrella organization providing independent assessment, endorsement and recognition of national forest certif..."
"Lacey Act of 1900",1900,"Law","United States of America","The United States of America has added provisions to the Lacey Act of 1900 (which regulates trade in wildlife, fish and plants) to ban commerce in illegally sourced timber and wood products."
"Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan",2003,"Policy","European Union","Concerns about the impact of illegal logging and associated trade led the European Union (EU) to adopt the Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan in 2003."
"Voluntary Partnership Agreements (VPAs)",None,"Agreement","European Union, partner countries","The EU's FLEGT process is centred on Voluntary Partnership Agreements (VPAs) between the EU and countries that produce or export timber."
"Asia‑Pacific Forestry Sector Outlook Study",2010,"Report","Food and Agriculture Organization (FAO)","The sentiment is endorsed in the report of the second Asia‑Pacific Forestry Sector Outlook Study (FAO, 2010b, p. 192)."
"Forests and Livelihoods: Assessment, Research and Engagement (FLARE) network",2015,"Programme","International Forestry Research Institute (IFRI)","In early 2015 IFRI announced the establishment of the Forests and Livelihoods: Assessment, Research and Engagement (FLARE) network, a community of practice with the aim of advancing the state of knowledge regarding forest‑based livelihoods."
"Multi‑point Declaration",2015,"Declaration","UNFF","the multi-point declaration adopted at its eleventh session, UNFF (2015) recognized the importance of collective action by indigenous and local communities in advancing sustainable forest management."
"Strategic Framework",2013,"Policy","FAO","FAO, through its new Strategic Framework, is revamping its programme on community‑based forestry to contribute to its five Strategic Objectives, in particular to rural poverty alleviation, food security and nutrition and the sustainable provision of goods and services from natural resources (FAO, 20..."
