Name,Type,Country,Description,Supporting_Text
"Peruvian Amazon","Region","Peru","Region in Peru where a review of community‑based forestry initiatives was conducted.","following a review of CBF initiatives in the Peruvian Amazon, reached the conclusion that "even though there has been a great deal of research documenting forest use by rural people ...""
"Asia","Region","None","Geographic region covered by FAO’s 2006 assessment of community‑based forestry and forest tenure transformations. Region referenced when discussing the extent of large‑scale timber concessions compare...","FAO, 2006a for Asia"
"Africa","Region","None","Cited as a region where pre‑modern forest management regimes have been documented. Geographic region covered by FAO’s 2008 assessment of community‑based forestry and forest tenure transformations. Reg...","FAO, 2008 for Africa"
"Eastern Europe","Region","None","Geographic region covered by FAO’s 2012 assessment of community‑based forestry and forest tenure transformations.","FAO, 2012a for Eastern Europe"
"Europe","Region","None","Pre‑industrial Europe where rural dwellers depended on adjacent forest commons and had functional local management systems later eroded by industrialization. Region mentioned as a target for PEFC grou...","As in many developing countries today, rural dwellers in pre‑industrial Europe depended on their adjacent forest commons for livelihood support and as an integral part of their traditional agricultural systems."
"France","Country","France","One of the only two European countries where significant forest areas are managed through communal management rights, though the forests are public and managed by local authorities.","France and Switzerland remain the only two countries in Europe in which significant areas of the forest estate are managed through some form of communal management rights (FAO, 2010a)."
"Switzerland","Country","Switzerland","One of the only two European countries where significant forest areas are managed through communal management rights, though the forests are public and managed by local authorities.","France and Switzerland remain the only two countries in Europe in which significant areas of the forest estate are managed through some form of communal management rights (FAO, 2010a)."
"global South","Region","None","Broad geographic term used to describe the locations of many large‑scale land acquisitions. Broad region where many developing countries have adopted community‑based forestry to reverse degradation an...","Most countries in the global South and the New World were subject to colonization by European powers from the sixteenth century onwards."
"New World","Region","None","Historical term for the Americas, where colonizing powers annexed forests previously under indigenous management.","Most countries in the global South and the New World were subject to colonization by European powers from the sixteenth century onwards."
"South Asia","Region","None","Cited as a region where pre‑modern forest management regimes have been documented. Region covered by an IUCN regional report on community involvement in forest management.","Poffenberger, 2000 for South Asia;"
"Southeast Asia","Region","None","Cited as a region where pre‑modern forest management regimes have been documented. Region covered by an IUCN regional report on community involvement in forest management.","Poffenberger, n.d. for Southeast Asia;"
"Mesoamerica","Region","None","Cited as a region where pre‑modern forest management regimes have been documented. Region covered by an IUCN regional report on community involvement in forest management.","IUCN, 2000 for Mesoamerica)."
"Asia and the Pacific region","Region","None","Region where community‑based forestry emerged in the 1970s‑80s, according to FAO.","FAO (2012b, p. 41) noted that CBF emerged in the Asia and the Pacific region, in part, "in the context of failures by public forestry organizations to effectively protect and manage forests sustainably"."
"Jakarta","City","Indonesia","Host city of the eighth World Forestry Congress, which carried the theme "Forests for People".","In the same year, the eighth World Forestry Congress in Jakarta carried the theme "Forests for People"."
"Australia","Country","None","One of the settler societies where indigenous rights over forests were historically extinguished and later legally recognized.","including Australia, Brazil, Canada, New Zealand and the United States of America"
"Brazil","Country","None","A settler society highlighted for its history of indigenous displacement and recent legal challenges to forest land rights.","including Australia, Brazil, Canada, New Zealand and the United States of America"
"Canada","Country","None","A settler society noted for past extinguishment of indigenous forest rights and subsequent legal recognition. Country included in the IUCN series of regional reports on community forest management.","including Australia, Brazil, Canada, New Zealand and the United States of America"
"New Zealand","Country","None","A settler society where indigenous forest rights were historically suppressed and later restored through legal action.","including Australia, Brazil, Canada, New Zealand and the United States of America"
"United States of America","Country","None","A settler society referenced for its history of indigenous displacement and recent court successes on forest land claims. Country included in the IUCN series of regional reports on community forest ma...","including Australia, Brazil, Canada, New Zealand and the United States of America"
"United Kingdom","Country","None","Country where the Overseas Development Institute’s Social Forestry Network (later Rural Development Forestry Network) was based. Country where the PEFC launched an online forest certification system f...","Social Forestry Network (subsequently  the Rural Development Forestry Network) of the Overseas Development Institute in the United Kingdom"
"Bangkok","City","Thailand","City where RECOFTC was established in 1987 to support capacity‑building for community‑based forestry in Asia and the Pacific.","RECOFTC was established in 1987 in Bangkok"
"India","Country","None","One of the countries where community‑based forestry is well established and integrated into national development programmes.","such as India, Nepal and the United Republic of Tanzania"
"Nepal","Country","None","Country with a long history of community forestry, originally part of an environmental movement.","such as India, Nepal and the United Republic of Tanzania"
"United Republic of Tanzania","Country","None","Country where community‑based forestry has been scaled up and incorporated into national development plans.","such as India, Nepal and the United Republic of Tanzania"
"China","Country","None","Country cited as an example where smallholder forestry emerged after major forest tenure reforms.","for example in China and Viet Nam"
"Viet Nam","Country","None","Country mentioned alongside China as a case where smallholder forestry developed following tenure reforms.","for example in China and Viet Nam"
"Latin America","Region","None","Region noted as an exception to the typical large‑scale national rollout of community‑based forestry in the global South. Region noted as an exception where large‑scale timber concessions are less pre...","Latin America is an exception"
"Global North","Region","None","Broad geographic term used to describe countries showing growing interest in legal timber harvesting. Region where collaborative forms of community‑based forestry have tended to emerge as smaller‑scal...","in the global North and South"
"North America","Region","None","Region used as a benchmark for carbon stock comparisons with community forests worldwide. Region where smallholder forestry is a well‑established forest management modality.","in Europe and North America"
"Asia and the Pacific","Region","None","Region targeted by RECOFTC for capacity‑building activities on community‑based forestry.","focus on capacity building for CBF in Asia and the Pacific"
"Overseas Development Institute","Institution","United Kingdom","Research institute whose Social Forestry Network (later Rural Development Forestry Network) helped spread community‑forestry ideas globally.","Social Forestry Network (subsequently  the Rural Development Forestry Network) of the Overseas Development Institute in the United Kingdom"
"Western Europe","Region","None","Region covered by an IUCN regional report on community involvement in forest management.","covering Southeast Asia, South Asia, MesoAmerica, Western Europe, and Canada and the United States of America"
"Northeastern United States of America","Region","United States of America","U.S. sub‑region cited as an example where community forestry is moving toward commercialisation.","This is the situation that prevails in the northeastern United States of America (Crow and Danks, 2010)."
"South and Southeast Asia","Region","None","Region identified as a focus for PEFC’s community‑group certification work.","PEFC also offers group certification and is currently exploring its application to community groups in Africa, Europe and South and Southeast Asia."
"Asia‑Pacific","Region","None","Region referenced in the title of a FAO forestry outlook study.","the second Asia-Pacific Forestry Sector Outlook Study (FAO, 2010b, p. 192)"
"United Nations","Institution","None","International organization that adopted the 2030 Sustainable Development Goals in September 2015.","In September 2015 the United Nations adopted a set of 17 Sustainable Development Goals (SDGs)..."
"United Nations Forum on Forests (UNFF)","Institution","None","International forum that adopted a multi‑point declaration recognizing collective action by indigenous and local communities for sustainable forest management. UN body that incorporated IPF/IFF propos...","The successor to IPF and IFF, the United Nations Forum on Forests (UNFF), incorporated the IPF/IFF Proposals for Action into its Multi-Year Programme of Work."
"Intergovernmental Panel on Forests (IPF)","Institution","None","Panel created by the Commission on Sustainable Development in 1995 to seek global consensus on participatory forest management.","CSD initiated the Intergovernmental Panel on Forests (IPF) in 1995 to seek a global consensus for action supportive of participatory and sustainable forest management."
"Intergovernmental Forum on Forests (IFF)","Institution","None","Successor to the IPF, used as a channel for community‑based forest advocacy between 1996 and 2000.","used between 1996 and 2000 to advocate for CBF in international discussions on forests through input to IPF and its successor, the Intergovernmental Forum on Forests (IFF)."
"International Union for Conservation of Nature (IUCN)","Institution","None","Organization that established a Working Group on Community Involvement in Forest Management in 1996.","Commencing in 1996, the International Union for Conservation of Nature (IUCN) established a Working Group on Community Involvement in Forest Management..."
"Forest Stewardship Council (FSC)","Institution","None","Certification body that had certified 4.2 million ha of community forests worldwide by 2010.","By 2010, 4.2 million hectares of community forests worldwide were certified by the Forest Stewardship Council (FSC) (Crow and Danks, 2010)."
"Programme for the Endorsement of Forest Certification (PEFC)","Institution","None","International umbrella organization founded in 1999; offers group certification and launched an online system in the United Kingdom.","The Programme for the Endorsement of Forest Certification (PEFC) was founded in 1999... the programme has recently launched an online forest certification system in the United Kingdom to help small and medium-sized private forest owners obtain PEFC certification simply and at low cost (PEFC, 2015)."
"European Union (EU)","Institution","None","Supranational body that adopted the Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan in 2003.","Concerns about the impact of illegal logging and associated trade led the European Union (EU) to adopt the Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan in 2003."
"World Bank","Institution","None","International financial institution that created the Forest Carbon Partnership Facility to support REDD+ projects.","The World Bank has developed a Forest Carbon Partnership Facility to prepare developing countries to participate in a carbon offset market for forestry projects."
