Name,Type,Role,Country,Description,Supporting_Text
"Rutger Hoekstra","Individual","Provides scholarly analysis and framing for the initiative to replace GDP with wellbeing‑oriented indicators.","None","Author of the book discussing the replacement of GDP with wellbeing and sustainability metrics.","Rutger Hoekstra"
"Bureau of Economic Analysis (BEA)","Government","Calculates quarterly GDP growth for the United States, reinforcing GDP as the dominant metric in economic decision‑making and limiting the space for alternative measures that value nature and wellbeing.","United States","S. U. government agency that compiles and publishes national economic accounts, including quarterly GDP figures. statistical agency whose civil servants compile the quarterly GDP report.","At the same time as the BEA officials in Maryland are calculating quarterly GDP growth for the United States"
"Council of Economic Advisers (CEA)","Organization","Delivers briefings on GDP and related economic data to the President, influencing policy decisions that the initiative aims to reform.","United States","U.S. presidential advisory body; its chairman serves as the President’s chief economic adviser.","The adviser to the President is the Chairman of the Council of Economic Advisers (CEA)."
"President of the United States","Government","Receives briefings on GDP performance; the initiative seeks to shift the metrics that inform the President’s economic decisions.","United States","Head of the U.S. executive branch who receives economic briefings and can shape national policy.","the adviser of the President of the United States, who may brief the President before the general public is notified"
"George Bush","Individual","Cited as an example of how GDP‑related economic performance can affect political approval and election outcomes.","United States","Former President of the United States (served 1989‑1993).","George Bush enjoyed good approval ratings in 1991 but was still defeated a year later."
"Bill Clinton","Individual","Illustrates the political use of economic narratives; his campaign leveraged poor GDP figures with the slogan “It’s the economy, stupid.”","United States","Former President of the United States (served 1993‑2001).","Bill Clinton, capitalised on the poor economic figures and his campaign team famously used the phrase "It's the economy, stupid" to keep on-message."
"Organisation for Economic Co‑operation and Development (OECD)","Organization","Releases quarterly GDP figures for member and partner countries, contributing to the global dominance of GDP as the primary economic indicator.","International","An intergovernmental economic organisation that promotes policies to improve the economic and social well‑being of people around the world. An international intergovernmental organization that coordin...","the Organisation for Economic Co‑operation and Development (OECD) all release their quarterly GDP figures"
"World Bank","Organization","Collects and disseminates GDP data and uses it to project economic developments, thereby sustaining GDP‑centric assessment frameworks.","International",", USA. An international development institution that offers financial and technical assistance to developing countries. C. International development bank founded in 1944. International financial insti...","GDP figures are collected and disseminated by all the major international institutions, such as the World Bank"
"International Monetary Fund (IMF)","Organization","Collects and disseminates GDP data and produces growth projections, reinforcing GDP as the benchmark for economic health.","International","A global financial institution that provides monetary cooperation and financial stability. International financial institution created at the 1944 Bretton Woods Conference. International organization ...","GDP figures are collected and disseminated by all the major international institutions, such as ... International Monetary Fund"
"European Commission","Organization","Uses GDP data to inform EU policy and contributes to the EU’s legal requirements for member‑state statistical reporting, perpetuating GDP‑based evaluation.","European Union","Executive body of the European Union, based in Brussels, Belgium. Executive branch of the European Union responsible for proposing legislation and implementing decisions. The executive branch of the E...","GDP figures are collected and disseminated by all the major international institutions, such as ... the European Commission"
"United Nations","Organization","Hosts the global statistical database that includes GDP figures for 200 countries, providing the backbone for GDP‑centric global reporting.","International","Intergovernmental organization tasked with promoting international cooperation and maintaining peace and security. Intergovernmental organization that coordinates global policy, including development ...","there are annual GDP figures for 200 countries and regions in the United Nations statistical database"
