Title,Year,Type,Actors,Supporting_Text
"Replacing GDP by 2030 Towards a Common Language for the Well-being and Sustainability Community",None,"Book","Rutger Hoekstra","Replacing GDP by 2030 Towards a Common Language for the Well-being and Sustainability Community"
"System of National Accounts 1953",1953,"Report","","the first two official versions of the System of National Accounts (1953 and 1968) used the indicator Gross National Product (GNP)."
"System of National Accounts 1993",1993,"Report","","Later on, in the SNA 1993, GDP was adopted and GNP was sidelined."
"System of National Accounts (SNA)",2008,"Standard","United Nations, European Union","These are recorded in an international handbook called the System of National Accounts (SNA), which was last updated in 2008. It is a 722-page manual on how to record the economic transactions and resources of a society."
"Measure of Economic Well-being (MEW)",None,"Other","","This approach includes indicators such as the Measure of Economic Well-being (MEW), Sustainable National Income (SNI), Index of Sustainable Economic Welfare (ISEW), Genuine Progress Indicator (GPI), Genuine/Adjusted Net Savings or Wealth Index."
"Sustainable National Income (SNI)",None,"Other","","This approach includes indicators such as the Measure of Economic Well-being (MEW), Sustainable National Income (SNI), Index of Sustainable Economic Welfare (ISEW), Genuine Progress Indicator (GPI), Genuine/Adjusted Net Savings or Wealth Index."
"Index of Sustainable Economic Welfare (ISEW)",None,"Other","","This approach includes indicators such as the Measure of Economic Well-being (MEW), Sustainable National Income (SNI), Index of Sustainable Economic Welfare (ISEW), Genuine Progress Indicator (GPI), Genuine/Adjusted Net Savings or Wealth Index."
"Genuine Progress Indicator (GPI)",None,"Other","","This approach includes indicators such as the Measure of Economic Well-being (MEW), Sustainable National Income (SNI), Index of Sustainable Economic Welfare (ISEW), Genuine Progress Indicator (GPI), Genuine/Adjusted Net Savings or Wealth Index."
"Genuine/Adjusted Net Savings (Wealth Index)",None,"Other","","This approach includes indicators such as the Measure of Economic Well-being (MEW), Sustainable National Income (SNI), Index of Sustainable Economic Welfare (ISEW), Genuine Progress Indicator (GPI), Genuine/Adjusted Net Savings or Wealth Index."
"Human Development Index (HDI)",None,"Other","United Nations","There are "composite indicators" such as the Human Development Index (HDI), which aggregates health, education and GDP into a single index. HDI is one of the most visible Beyond-GDP alternatives and is featured every year in the United Nations' Human Development Report."
"United Nations' Human Development Report",None,"Report","United Nations","HDI is one of the most visible Beyond-GDP alternatives and is featured every year in the United Nations' Human Development Report."
"Living Planet Report",None,"Report","World Wildlife Fund","For example, the ecological footprint is cited frequently, including in the Living Planet Report of the World Wildlife Fund."
"United Nations' Sustainable Development Goals (SDG)",None,"Programme","United Nations","The United Nations' Sustainable Development Goals (SDG), which are a global agreed set of targets for sustainable development, are probably the most famous example of an indicator set."
"System of National Accounts (SNA)",None,"Standard","","Even the SNA, the worldwide handbook, explicitly warns: "GDP is often taken as a measure of welfare, but the SNA makes no claim that this is so and indeed there are several conventions in the SNA that argue against the welfare interpretation of the accounts.""
"Figure 1.1",None,"Other","","The left side of the figure represents the global enterprise with a well-coordinated and harmonised operation, while the right side shows the heterogeneous and chaotic Beyond-GDP situation."
"Figure 1.2",None,"Other","","Figure 1.2 is a stylised depiction of these developments."
"System of National Accounts",1953,"Standard","","The System of National Accounts is the foundation upon which modern empirical macroeconomics is built. The SNA has, since 1953, prescribed what concepts to use when measuring the economy."
"System of National Accounts (SNA)",None,"Standard","","The SNA provides a common language which (macro)economists all over the world speak."
"System of National Accounts (SNA)",None,"Standard","","The SNA itself phrases this as follows: "Per capita volumes of major aggregates are often used as a measure of the relative standard of living in countries...""
"Sustainable Development Goals",None,"Declaration","","Sustainable Development Goals"
"Brundtland Report",None,"Report","Brundtland","This is the underlying philosophy of the Brundtland Report which was the seminal publication that led to the institutionalisation of the term sustainable development"
"Sustainable Development Goals",2015,"Policy","United Nations, UN member states","a prime candidate would be the Sustainable Development Goals, a list of 169 targets that were adopted by all member states of the UN in 2015"
"System of Global and National Accounts (SGNA)",None,"Standard","WSS community","This book proposes a neutral multidisciplinary measurement framework which should act as a common language: the System of Global and National Accounts (SGNA)"
"Global Environmental Accounts (GENA)",None,"Other","WSS community","The SGNA is subdivided into four "system accounts": 1. Global Environmental Accounts (GENA)"
"Global Societal Accounts (GSA)",None,"Other","WSS community","2. Global Societal Accounts (GSA)"
"Global Economic Accounts (GECA)",None,"Other","WSS community","3. Global Economic Accounts (GECA)"
"Global Distribution Accounts (GDA)",None,"Other","WSS community","4. Global Distribution Accounts (GDA)"
"Global Quality Accounts (GQA)",None,"Other","WSS community","5. Global Quality Accounts (GQA)"
"System of National Accounts (SNA)",None,"Standard","United Nations","Revision of the System of National Accounts. Historically, there has been a new SNA every 1-2 decades."
"System of National Accounts (SNA)",None,"Standard","","the SNA is more than 700 pages long."
"System of Global and National Accounts (SGNA)",None,"Other","","the five sub-accounts of the System of Global and National Accounts (SGNA)"
"Why Is GDP Successful? From cottage industry to multinational",None,"Other","","Why Is GDP Successful? From cottage industry to multinational"
"GDP: A Brief but Affectionate History",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation of the history of GDP..."
"The Little Big Number",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"Gross Domestic Problem",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"The Great Invention",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"The Hegemony of Growth",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"The Growth Delusion",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"Value of Everything",None,"Book","","Catchy titles such as GDP: A Brief but Affectionate History, The Little Big Number, Gross Domestic Problem, The Great Invention, The Hegemony of Growth, The Growth Delusion and the Value of Everything provide ample documentation..."
"The Income of Nations",1958,"Book","Studenski","The first, covering the years 1900 to 1958, is derived from The Income of Nations by Studenski (1958), which provides a nearly encyclopaedic overview of national income accounting for the period 1665-1958."
"Kuznets Report",1934,"Report","Simon Kuznets","A case in point is one of the landmark publications in the history of national accounting: a report by Simon Kuznets on 4 January 1934."
"The General Theory of Employment, Interest and Money",1936,"Book","John Maynard Keynes","A hugely influential publication of 1936 was by John Maynard Keynes, one of the defining figures in twentieth-century economics. In The General Theory of Employment, Interest and Money, Keynes laid the foundation for macroeconomics..."
"Resolution 220",1932,"Resolution","Robert La Follette Jr.","It took until 8 June 1932 before La Follette could get a majority to vote for resolution 220 which requested national income statistics for the period 1992-1932."
"Bretton Woods agreement",1944,"Agreement","","The year 1929 is chosen because of the Great Depression; 1944 and 1973 are chosen because these symbolise the start and end of the Bretton Woods agreement."
"Marshall Plan",1948,"Programme","","The Marshall Plan, which ran from 1948 to 1952, was a large-scale economic programme designed to put Europe on the road to economic prosperity and peace."
"System of National Accounts",1953,"Standard","","Macroeconomic statistics started to harmonise into the System of National Accounts, with the first edition being published in 1953 (more on the SNA later in this chapter)."
"Bretton Woods system",1944,"Framework","","the international agreements which had been agreed in Bretton Woods in 1944. ... At the end of the war, the Bretton Woods system had been adopted."
