Name,Type,Role,Country,Description,Supporting_Text
"Judit Farkas","Individual","Conducts research on ecovillages, providing historical and socio‑cultural analysis of intentional communities for ecological regeneration.","Hungary","Cultural anthropologist and author of the article analyzing the history and roots of the ecovillage movement.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"University of Pécs","Organization","Provides the academic setting and institutional support for the study of ecovillages and intentional communities.","Hungary","Higher‑education institution in Hungary where the research was conducted.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"Institute of Human Relations","Organization","Hosts the author’s affiliation, facilitating research on the socio‑cultural dimensions of the ecovillage movement.","Hungary","Research institute within the University of Pécs focusing on interdisciplinary human‑relations studies.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"Department of European Ethnology and Cultural Anthropology","Organization","Provides the disciplinary framework and academic environment for the author’s investigation of intentional communities.","Hungary","Academic department at the University of Pécs specializing in ethnology and cultural anthropology.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"Karen Litfin","Individual","Authored the quoted statement and conducts scholarly analysis of eco‑villages, contributing to the understanding of intentional communities for ecological regeneration and environmental sustainability.","None","Political scientist and researcher of the international eco‑village movement.","This sentence was written by Karen Litfin, a political scientist, researcher of the international eco-village movement (Litfin 2011:139)."
"Ramachandra Guha","Individual","Provides scholarly framing of the eco‑village movement and highlights the shift toward self‑sustaining intentional communities.","India","Indian sociologist who analyses the historical waves of environmental thinking and links them to the emergence of eco‑villages.","Ramachandra Guha, a sociologist from India differentiates two major waves of environmentally sound thinking and movements (environmentalism) in one of his works on the history of the environment (Guha 2000):"
"William Blake","Individual","Early literary figure warning about industrial hazards, contributing to the intellectual roots of ecological regeneration ideas.","United Kingdom","18th‑century English poet and artist who critiqued industrialisation’s environmental impacts.","You can see with surprise as some authors of the 18th and 19th century discuss the satanic mills of the industrial age, the factories destroying the Earth, poisons, air pollution, railways (and tourists) spoiling the rural English landscape, environmental and pollution related causes of diseases, et..."
"William Wordsworth","Individual","Advocated rural, nature‑centred living, influencing later ideas of self‑sufficient communities.","United Kingdom","English Romantic poet (1770‑1850) noted for his love of nature and extensive walking.","Wordsworth, the poet (1770 -1850) was an ardent hiker, according to the data of Guha he walked 175 thousand miles in his life, and in the meantime he had hands on experiences of the dark side of the industrial revolution and the devastation of the natural environment."
"John Ruskin","Individual","Created an association, a farm and a crafts shop aimed at self‑sufficiency, embodying early intentional‑community practice.","United Kingdom","English painter, art writer and aesthetician (1809‑1900) who linked air pollution to nature’s desecration.","John Ruskin (1809- 1900), painter, art writer, aesthetician maintained that air pollution was the consequence of desecration of nature, seeing correlation between environmental pollution and human diseases. He opposed the penetration of the railway because he thought it was an important cause of des..."
"Edward Carpenter","Individual","Founded a community near Sheffield that grew vegetables, baked bread and pursued a self‑sustaining, nature‑based lifestyle.","United Kingdom","English socialist poet and philosopher (1844‑1929) whose work inspired early communal experiments.","His influence was felt in the oeuvre of the Socialist poet and philosopher, Edward Carpenter (1844-1929), whose work Civilisation, Its Cause and Cure (1889) has become the Bible of the social movements."
"William Morris","Individual","Propagated the back‑to‑nature idea that underpins many eco‑village and intentional‑community projects.","United Kingdom","English industrial designer, author and socialist activist (1834‑1896) known for the ‘back to nature’ ethos.","William Morris (1834 -1896) industrial designer, author, Socialist activist was one of the great prophets of the 'back to nature' idea in this period, a thinker of great influence who is considered as the father of a number of art and social movements."
"Henry David Thoreau","Individual","Provided philosophical foundations for ecological regeneration and intentional community living.","United States","American naturalist and philosopher (1817‑1862) celebrated for his reflections on simple, self‑reliant living.","Walt Whitman and Henry David Thoreau"
"Octavia Hill","Individual","Linked environmental concerns with social reform, influencing early community‑based sustainability initiatives.","United Kingdom","English social reformer (1838‑1912) recognized as the first female environmental activist.","Octavia Hill (1838-1912), presented by Ramachandra Guha as the first female environmental activist, may also be included here."
"University of Copenhagen","Organization","Venue for a landmark student action that signaled the growing grassroots momentum behind ecological movements and later intentional‑community projects.","Denmark","Danish university where a 1969 student protest highlighted rising anti‑pollution activism.","in the Spring of 1969 a couple of students interrupted the class on natural sciences at the University of Copenhagen, rushing in, carrying a mallard soaked in a marine oil spill and reciting anti-pollution slogans."
"Louise Meijering","Individual","Provides historical analysis and classification of intentional communities, informing contemporary eco‑village initiatives.","None","Scholar who researched and documented the history of rural intentional communities.","Louise Meijering pointed out in her work on rural intentional communities (Meijering 2006)."
"Robert Owen","Individual","Founded New Harmony, an early intentional community that served as a model for later ecological and cooperative settlements.","None","19th‑century social reformer and industrialist.","Owen himself created a community called New Harmony"
"Charles Fourier","Individual","His ideas inspired 19th‑century socialist intentional communities that emphasized collective living and ecological harmony.","None","French utopian socialist thinker.","ideas of Robert Owen, Charles Fourier and Étienne Cabet."
"Étienne Cabet","Individual","Provided ideological foundations for socialist‑oriented intentional communities in the 19th century.","None","French utopian socialist and author of communal experiments.","ideas of Robert Owen, Charles Fourier and Étienne Cabet."
