Title,Year,Type,Actors,Supporting_Text
"Very little heroes' History and Roots of the Eco-Village movement",None,"Other","Judit Farkas, University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology","'Very little heroes' History and Roots of the Eco-Village movement1"
"Civilisation, Its Cause and Cure",1889,"Book","Edward Carpenter","Civilisation, Its Cause and Cure (1889) has become the Bible of the social movements."
"Mother Earth News",1975,"Other","","the magazine called Mother Earth News (Hendersonville, North-California) started to set up organic gardens and energy saving houses next to their offices in 1975"
"In Context",None,"Other","Robert Gilman, Diane Gilman","Robert and Diane Gilman in their paper called In Context (Seattle) commenced to report on this and similar initiatives at the turn of the 1980s-1990s."
"Global Ecovillage Network (GEN)",1994,"Other","","The international network, Global Ecovillage Network (GEN) was launched in 1994, in which the Hungarian Gyűrűfű project has already been involved as one of the funding members."
"Danish eco‑village network",1993,"Other","","In 1993 the Danish eco‑village network was set up, the first of this kind, which later served as a model for the later launched international eco‑village movement."
"From Islands to Networks: The History and Future of the Ecovillage Movement",None,"Other","Jonathan Dawson","From Islands to Networks The History and Future of the Ecovillage Movement"
"Local Agenda 21 award",2004,"Other","ZEGG, regional administration of Potsdam-Mittelmark","In 2004, ZEGG won the "Local Agenda 21" award set up by the regional administration of Potsdam-Mittelmark in the state of Brandenburg for the ensemble of its ecological work in the region."
"UN CIFAL training center",None,"Programme","Findhorn Foundation","Today, the ecovillage hosts a UN CIFAL training center (one of eleven such centers worldwide), which provides sustainability-related training for local governments and other local actors."
"Ecodyfi initiative",None,"Programme","Centre for Alternative Technology, local authorities, Welsh Assembly, community groups, specialist organizations","The Centre for Alternative Technology, a founding member of the GEN, is a leading player in the Ecodyfi initiative in Wales, an effort that brings together local authorities, the Welsh Assembly, various community groups, and specialist organizations with the mission ""to foster sustainable community..."
"National Agency for Ecovillages",None,"Other","government of Senegal, GEN Senegal","The most striking recent breakthrough has been the decision by the government of Senegal to create a National Agency for Ecovillages."
"La Caravana Arcoiris por la Paz",None,"Programme","La Caravana Arcoiris por la Paz, Brazilian government, Secretariat of Culture in the Coyoacán district of Mexico City","La Caravana Arcoiris por la Paz (the Rainbow Caravan of Peace), a community of artists and ecological activists that have toured Latin America for the last ten years... Between 2005 and 2008, La Caravana was commissioned by the Brazilian government to help develop fifty community-based cultural cent..."
"Save Our Water Now campaign",None,"Other","The Farm","More than thirty years ago, its Save Our Water Now campaign organized local groups to stop deep-well injection into a regional aquifer by pesticide and herbicide companies."
"Big Swan Headwaters Preserve",None,"Other","The Farm, local conservation organizations, state and local governments, Nature Conservancy","Its Big Swan Headwaters Preserve drew together local conservation organizations, state and local governments, and international charities like Nature Conservancy to protect more than three thousand contiguous acres from logging, subdivision, and development."
"Peace Roots",None,"Other","The Farm","The Farm has also organized an antiwar network--Peace Roots--that aligns veterans, farmers, students, and the general public in campaigns to oppose continued war spending."
"Plenty",None,"Other","The Farm","An international charity based at the Farm--Plenty--works in emergency relief arenas like post-hurricane New Orleans, post-earthquake Haiti, and the Gulf Coast in the aftermath of the BP Deepwater Horizon disaster."
"Gaia University",None,"Other","ecovillage‑based institutes","university students are gaining credits from conventional universities for semesters spent in ecovillages ... and degrees from ecovillage‑based institutes through the recently organized Gaia University."
"UN Habitat Scroll of Honor",2009,"Other","Sarvodaya, United Nations (UN‑Habitat)","In 2009, Sarvodaya was awarded the United Nations' prestigious UN Habitat Scroll of Honor in special recognition of its achievements in helping communities recover from the effects of the tsunami."
"Right Livelihood Award",None,"Other","The Farm","For its work in protecting indigenous cultures of the Americas through Plenty, The Farm received the first Right Livelihood Award, presented in the Swedish parliament in Stockholm."
"Gaia Education curriculum",None,"Other","Gaia Education, United Nations Institute for Training and Research (UNITAR), UNESCO","Gaia Education has developed an educational curriculum drawn from best practice within ecovillages globally... The curriculum, developed by educators based in ecovillages around the world, has been endorsed by the United Nations Institute for Training and Research (UNITAR) and welcomed by the United..."
"UN Decade of Education for Sustainable Development",None,"Programme","UNESCO, United Nations","The curriculum ... has been endorsed by the United Nations Institute for Training and Research (UNITAR) and welcomed by the United Nations Educational, Scientific and Cultural Organisation (UNESCO) as a valuable contribution to its UN Decade of Education for Sustainable Development."
"Open University of Catalunya master's program",None,"Programme","Open University of Catalunya","The course is now being taught in ecovillages, universities, and community centers on every continent and has been taught virtually for several years through the Open University of Catalunya in Spain, where it is now offered as a master's program."
"Future Scenarios",2009,"Book","David Holmgren","David Holmgren's Future Scenarios provides some insights into how the near- to medium-term future may unfold and the likely relevance of initiatives that are based on ecological design principles, such as ecovillages (Holmgren 2009)."
