Name,Type,Country,Description,Supporting_Text
"University of Pécs","Institution","Hungary","The academic institution where the author, Judit Farkas, is affiliated.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"Pécs","City","Hungary","The city in Hungary that hosts the University of Pécs, mentioned in the author’s affiliation.","Judit Farkas University of Pécs, Institute of Human Relations, Department of European Ethnology and Cultural Anthropology"
"Hungary","Country","None","Country whose Gyűrűfű project was an early funding member of the Global Ecovillage Network (GEN). Mentioned as the national context for eco‑villages, noting that only about 500 people live in eco‑vill...","the number of persons living in eco-villages in Hungary (who actually do not count more than 500 people)"
"India","Country","India","Country of Auroville and the Bija Satyagraha Movement, both cited as examples of ecological activism. Country of origin of sociologist Ramachandra Guha mentioned in the background of the eco‑village m...","Auroville in India"
"England","Country","None","Referenced as the rural English landscape that was being spoiled by industrialisation in the 18th‑19th centuries.","railways (and tourists) spoiling the rural English landscape"
"Denmark","Country","None","Country where the University of Copenhagen is located, mentioned in the story of student protest in 1969. Country where the co‑housing movement blossomed in the 1970s and where the first eco‑village m...","in the Spring of 1969 a couple of students interrupted the class on natural sciences at the University of Copenhagen"
"Copenhagen","City","Denmark","Capital city of Denmark, host of the University of Copenhagen where a 1969 student protest took place.","in the Spring of 1969 a couple of students interrupted the class on natural sciences at the University of Copenhagen"
"University of Copenhagen","Institution","Denmark","Higher‑education institution where students staged a protest in 1969, illustrating the radicalisation of the environmental movement.","in the Spring of 1969 a couple of students interrupted the class on natural sciences at the University of Copenhagen"
"Sheffield","City","United Kingdom","City in England where Edward Carpenter created a self‑sustaining community that grew vegetables and baked bread, an early example of eco‑village practice.","Carpenter ... created a community in the environs of the city of Sheffield, where they started to grow vegetables, baked their own bread"
"Palestine","Region","None","Region where the Essenes, a religious group, operated in the first century before Christ.","the Essenes, a religious group operating in Palestine in the first century before Christ"
"Western Europe","Region","None","Region where the lay Christian movement of the Brotherhood of the Free Spirit emerged.","the lay Christian movement of the Brotherhood of the Free Spirit in Western Europe"
"North America","Region","None","Continent where intentional communities began to appear as it was colonised.","as North America is colonised, the intentional communities started to appear on this continent as well"
"New World","Region","None","Historical term for the Americas, described as a great force of attraction for intentional communities seeking religious freedom and opportunities.","The New World represented a great force of attraction for these communities"
"Boston","City","United States","City whose surroundings hosted Brook Farm, an intentional community created by Transcendentalists in the 1840s.","Brook Farm ... created by Transcendentalists in the surroundings of Boston during the 1840s"
"United States of America","Country","None","Country where a massive wave of intentional communities (over 2,000) was founded in the 1960s, and where The Farm eco‑village is located.","in the United States of America alone, more than 2000 communities were founded at this time"
"Israel","Country","None","Country mentioned in relation to the Israeli Kibbutz movement, an important form of intentional community.","touched upon the Israeli Kibbutzes only shortly as significant intentional communities"
"Scotland","Region","United Kingdom","Country where the Findhorn Foundation, a leading eco‑village, was established in 1962. Country within the UK where the Findhorn Foundation is based and where several partnership programmes operate.","In Scotland, the Findhorn Foundation's growing alliances with local organizations began with two studies."
"Auroville","City","India","An ecovillage in India that participated in post‑tsunami and Haiti reconstruction activities. South‑Indian eco‑village cited as an example of a community that lives in harmony with nature.","the South-Indian Auroville"
"The Farm","Other","United States","A prominent ecovillage in Tennessee that collaborates with government, NGOs and international charities. An ecovillage located in Tennessee, USA, involved in post‑disaster recovery work. Well‑known in...","The Farm in the United States"
"Hendersonville, North-California","City","United States","Location of the Mother Earth News office that set up organic gardens and energy‑saving houses in 1975.","the magazine called Mother Earth News (Hendersonville, North-California) started to set up organic gardens"
"Gorleben","City","Germany","German city where a protest movement against a proposed nuclear waste landfill led to the creation of an early eco‑village (ökodorf).","a protest movement was launched in the city of Gorleben, Germany against the proposed nuclear waste landfill site"
"Seattle","City","United States","City mentioned as the location indicated in the citation of the paper "In Context" by Robert and Diane Gilman.","Robert and Diane Gilman in their paper called In Context (Seattle) commenced to report"
"Gyűrűfű","Town","Hungary","Village project in Hungary that participated as a funding member of the Global Ecovillage Network.","the Hungarian Gyűrűfű project has already been involved as one of the funding members"
"Findhorn","Town","Scotland","Scottish town that hosted the first international eco‑village meeting in 1995, organized by the Gaia Trust and the Findhorn Foundation.","The first international eco-village meeting took place in 1995 in Findhorn, Scotland"
"Iceland","Country","None","Country of the early ecovillage Solheimar mentioned as the "Icelandic ecovillage of Solheimar".","the Icelandic ecovillage of Solheimar, which was created in 1931"
"Solheimar","Other","Iceland","An early ecovillage in Iceland referenced as an example of a pre‑1960s GEN member.","the Icelandic ecovillage of Solheimar, which was created in 1931"
"Sri Lanka","Country","None","Country where the Sarvodaya network works with almost two thousand rural communities.","Sarvodaya, a group that works with almost two thousand primarily rural communities across Sri Lanka"
"Guinea","Country","None","One of the countries included in the COLUFIFA network of rural communities.","COLUFIFA ... a network of two hundred and fifty communities spanning Guinea, Guinea-Bissau, Senegal, and Gambia"
"Guinea‑Bissau","Country","None","One of the countries included in the COLUFIFA network of rural communities.","COLUFIFA ... a network of two hundred and fifty communities spanning Guinea, Guinea-Bissau, Senegal, and Gambia"
