Name,Type,Role,Country,Description,Supporting_Text
"Residents of Afton","Indigenous and local communities","Protested against the construction of a hazardous waste site","United States","Predominantly Black community in Warren County, North Carolina, USA. Residents of Afton, a predominantly black community in North Carolina, USA.","1982 Residents of Afton, a predominantly black community, protest against the construction of a hazardous waste site in North Carolina"
"Brandt Commission","Organization","Published the report *Common Crisis* in 1983","None","An international commission chaired by former German Chancellor Willy Brandt that examined North‑South economic relations and development‑environment linkages. International commission that examined g...","1983 Brandt Commission publishes Common Crisis"
"Union Carbide","Organization","Operated the plant where the 1984 Bhopal disaster occurred","India","A multinational chemical corporation responsible for the 1984 Bhopal disaster. Multinational chemical corporation responsible for the Bhopal disaster.","1984 Union Carbide Bhopal disaster occurs in India"
"Friends of the Earth","NGO","Launched its first UK campaign on acid rain in 1984","United Kingdom","International environmental NGO. International network of environmental organizations founded in 1969.","Friends of the Earth launches its first UK campaign on acid rain"
"Greenpeace","NGO","Part of the wave of new NGOs that shaped the early planetary health movement.","International","A global environmental organization known for direct‑action campaigns. A highly centralised environmental organisation that relies on individual members and supporters for funding and independence. An...","Greenpeace (est. 1971)"
"French Intelligence","Government","Blown up Greenpeace’s *Rainbow Warrior* vessel in 1985","France","French state intelligence services","1985 Greenpeace's Rainbow Warrior is blown up by French Intelligence in Auckland, New Zealand"
"UK government","Government","Accepted the link between British air pollution and Scandinavian acid rain in 1986","United Kingdom","National government of the United Kingdom. The central governing authority of the United Kingdom. The central government of the United Kingdom. The central government of the United Kingdom, including ...","1986 ... UK government accepts link between British air pollution and Scandinavian acid rain"
"Brundtland Commission","Organization","Published *Our Common Future* in 1986","None","World Commission on Environment and Development chaired by Gro Harlem Brundtland","1986 ... Brundtland Commission publishes Our Common Future"
"US United Church of Christ's Commission for Racial Justice","NGO","Published *Toxic Wastes and Race* in 1986","United States","Commission of the United Church of Christ focused on racial justice and environmental issues","1986 ... US United Church of Christ's Commission for Racial Justice publishes Toxic Wastes and Race"
"Robert Costanza","Individual","Estimated the annual global value of ecosystem services at US$16‑54 trillion, highlighting the economic significance of non‑marketed environmental benefits.","United States","Ecological economist who helped develop modern ecological economics. Ecological economist who, with colleagues, produced early large‑scale estimates of the monetary value of global ecosystem services....","However, in the late 1980s Robert Costanza and colleagues attempted to estimate the value of ecosystem services provided by the Earth's biosphere."
"Monsanto","Organization","Undertook its first genetically modified (GM) field trials in 1987","None","Agricultural biotechnology corporation","1987 Monsanto undertakes its first GM field trials"
"Intergovernmental Panel on Climate Change (IPCC)","Organization","Provides authoritative scientific assessments that underpin climate negotiations and the establishment of the UNFCCC; its reports have driven policy action and earned a Nobel Peace Prize.","International","An intergovernmental body established by the United Nations to assess the science related to climate change. An international intergovernmental body that assesses scientific information related to cli...","The scientific support is provided by the Intergovernmental Panel on Climate Change (IPCC), created in 1988 by the WMO and UNEP."
"MiljOpartiet de Grona","Organization","Became the first new political party to enter the Swedish parliament in 1988","Sweden","Swedish Green Party (Miljöpartiet de Gröna)","MiljOpartiet de Grona is the first new political party to enter the Swedish parliament for seventy years"
"Exxon","Organization","Responsible for the 1989 Exxon Valdez oil spill in Alaska","United States","American multinational oil and gas corporation (operator of the Exxon Valdez tanker)","1989 Exxon Valdez oil spill occurs in Alaska"
"Swedish government","Government","Established the Stockholm Environment Institute in 1989","Sweden","National government of Sweden","Swedish government establishes the Stockholm Environment Institute as an international environment development research institute"
"Stockholm Environment Institute","Organization","Founded by the Swedish government in 1989","Sweden","International research institute for environment and development based in Sweden","Swedish government establishes the Stockholm Environment Institute as an international environment development research institute"
"Time magazine","Organization","Declared *Endangered Earth* as Planet of the Year in 1989","United States","American weekly news magazine","1989 ... US Time magazine declares Endangered Earth as Planet of the Year"
"Sting","Individual","Established Rainforest Foundation International in 1989","United Kingdom","British musician and activist.","British musician Sting establishes Rainforest Foundation International"
"European Union","Government","Introduced a voluntary eco‑labelling scheme in 1992","European Union","A supranational political and economic union of European member states. A supranational political and economic union of European member states that commissioned a 2009 study on European public concern...","1992 ... European Union introduces a voluntary Eco-labelling scheme"
"US President Clinton","Individual","Signed an Executive Order reinforcing civil rights and environmental laws in 1994","United States","Bill Clinton, President of the United States (1993‑2001)","1994 US President Clinton signs an Executive Order reinforcing civil rights and environmental laws"
"World Bank","Organization","Target of protests that argue its policies can endanger global development and the environment.","International","An international development bank that provides financial and technical assistance to developing countries. International development bank that offers financial and technical assistance to developing ...","This campaign brought together campaigners from trade justice, development and environment communities to protest against the policies of the International Monetary Fund (IMF), World Bank and World Trade Organization (WTO)."
"Finnish Greens","Organization","Became the first party in Western Europe to enter a national government in 1995","Finland","Green political party of Finland","1995 ... Finnish Greens become the first party in Western Europe to enter a national government"
"UK Forum for the Future","Organization","Established in 1996","United Kingdom","British sustainability think‑tank and NGO","1996 UK Forum for the Future is established"
"Reclaim the Streets","NGO","Organised and took part in road protest camps and direct‑action campaigns against road‑building projects.","United Kingdom","A grassroots activist network that stages public demonstrations against car‑centric urban planning and corporate power. International activist network focused on reclaiming public space. UK‑based acti...","Newly established non-violent direct action groups such as Earth First! (a US import) and Reclaim the Streets organised, or were present at, many road protest camps."
"UK Commission on Sustainable Development","Organization","Established in 2000","United Kingdom","UK government advisory body on sustainable development","2000 UK Commission on Sustainable Development is established"
"Al Gore","Individual","Produced the Oscar‑winning documentary *An Inconvenient Truth* (2006) and held a Live Earth concert in 2007","United States","Former U. S. Vice President and climate advocate. Vice President and environmental advocate.","2006 Al Gore produces the Oscar-winning climate change documentary film An Inconvenient Truth"
"UNEP","Organization","Played an active role in initiating many multilateral environmental agreements (MEAs) discussed in the text.","International","United Nations Environment Programme, an international agency promoting environmental sustainability. United Nations Environment Programme, the UN agency responsible for coordinating environmental act...","Over 300 have been created since UNCHE, with UNEP taking an active role in initiating many of them."
"Tim Jackson","Individual","Published *Prosperity Without Growth* in 2009","United Kingdom","British ecological economist and author. Economist and author of *Prosperity Without Growth* (2009).","2009 Tim Jackson publishes Prosperity Without Growth"
"University of East Anglia","Organization","Dealt with the implications of the ‘climategate’ email scandal in 2009","United Kingdom","British university hosting the CRU. British university that hosts the Climatic Research Unit.","University of East Anglia deals with the implications of 'climategate' email scandal"
"US President Obama","Individual","Introduced the Climate Change Bill in 2010","United States","Barack Obama, President of the United States (2009‑2017)","2010 US President Obama introduces the Climate Change Bill"
"BP","Organization","Responsible for the Deepwater Horizon oil spill in the Gulf of Mexico in 2010","United Kingdom","British multinational oil and gas company. British multinational oil and gas company (formerly British Petroleum).","2010 ... BP Deepwater Horizon oil spill in the Gulf of Mexico"
"Caroline Lucas","Individual","Elected as Britain’s first Green Party Member of Parliament in 2010","United Kingdom","British politician, first Green Party Member of Parliament in the UK. British politician, member of the Green Party.","2010 ... Caroline Lucas is elected as Britain's first Green Party Member of Parliament"
"Friends of the Earth (FoE)","NGO","Led a campaign against the reprocessing of spent nuclear fuels, influencing public debate and policy on nuclear waste in the UK.","United Kingdom","A campaign group founded in the early 1970s that mobilizes public support and advocacy for environmental protection. Environmental non‑governmental organization that campaigns on ecological issues. In...","FoE led a campaign against the reprocessing of spent nuclear fuels, claiming it would turn the UK into a nuclear dustbin for the world."
"Natural Resources Defense Council (NRDC)","Organization","Founded as an early environmental campaign group, it contributes legal expertise and scientific analysis to advance governance that accounts for nature's wellbeing.","None","A U.S.‑based environmental advocacy organization founded in the early 1970s, focusing on legal and scientific approaches to protect natural resources.","In just three years between 1969 and 1972, the campaign groups Friends of the Earth (FoE), Greenpeace and the Natural Resources Defense Council (NRDC) were founded;"
"Max Weber","Individual","Provided early sociological insight that nature enjoyment is not a modern invention, influencing later environmental thought.","Germany","German sociologist (1864‑1920) who wrote about the relationship between humanity and nature.","German sociologist Max Weber (1864-1920) wrote"
"Hippocrates","Individual","Offered one of the earliest recorded connections between environmental conditions and human health, a conceptual precursor to planetary health.","Greece","370 BC) who linked climate to human health. 377 BC) who linked climate, food, and occupation to disease. 460‑c. 460 – c. Ancient Greek physician (c.","Hippocrates (ca. 460 - ca. 377 BC) noted the effects of food, occupation and climate in causing disease"
"Rachel Carson","Individual","Catalyzed the modern environmental movement by exposing the ecological dangers of pesticides and linking them to broader threats such as nuclear fallout.","United States","American marine biologist and author of *Silent Spring* (1962). Biologist and writer who synthesized scientific evidence on pesticides for the book *Silent Spring*.","Rachel Carson's book Silent Spring (1962) was among the first to link the dangers of the atomic bomb to the misuse of pesticides"
"Garrett Hardin","Individual","Introduced a key theoretical framework for understanding collective resource use, shaping policy debates on environmental governance.","United States","American ecologist and author of *The Tragedy of the Commons* (1968). American ecologist and author of “The Tragedy of the Commons”. American ecologist and philosopher best known for formulating the ‘...","'The Tragedy of the Commons' (Garrett Hardin, 1968)"
"E. F. Schumacher","Individual","Advocated for sustainable, human‑scale economics, influencing green alternatives and the broader sustainability discourse.","Germany","German-born economist and author of *Small is Beautiful* (1973).","Small is Beautiful (E. F. Schumacher, 1973)"
"Union Oil Company","Organization","Its 1969 oil platform explosion caused a massive spill that became a high‑visibility case for environmental activism and regulatory reform.","United States","American oil company that operated offshore platforms on the California coast.","an explosion on the Union Oil Company oil platform, six miles off the coast of Santa Barbara in California"
"New York Times","Organization","Forecasted the lasting impact of environmental institutions, helping to shape public perception and political will for environmental governance.","United States","Major U.S. newspaper.","All this has helped give environmentalism a permanence that has transcended the decades, much as the New York Times predicted."
"The Ecologist","Organization","Published *A Blueprint for Survival* (1972), an early manifesto that mobilised public opinion and informed the emerging environmental movement.","United Kingdom","British environmental magazine. Environmental magazine founded by Edward Goldsmith in the UK.","'A Blueprint for Survival' (The Ecologist, 1972)"
"National Trust","Organization","Acquired early properties and land in the Lake District to protect natural landscapes and prevent further damming.","United Kingdom","A UK‑based conservation charity founded in 1895 that purchases and manages land of natural beauty. Conservation charity protecting historic places and natural landscapes in the UK. The largest environ...","In the UK, the National Trust (est. 1895) purchased many of its early properties and land in the Lake District shortly after Thirlmere reservoir was built to supply water to Manchester."
"Sierra Club","Organization","Waged a long campaign against the city of San Francisco to stop a dam in the Hetch Hetchy Valley, using letter‑writing and pamphlet distribution to influence Congress.","United States","One of the United States’ oldest environmental NGOs, founded in 1892. One of the oldest and largest grassroots environmental organizations in the United States. S. U. environmental organization.","In the USA, the Sierra Club (est. 1892) waged a long campaign against the city of San Francisco to stop a dam being built in the Hetch Hetchy Valley in Yosemite National Park."
"John Muir","Individual","Provided photographs and writings for Sierra Club pamphlets that promoted the beauty of Yosemite and helped persuade legislators.","United States","Naturalist and founder of the Sierra Club (1838‑1914).","The pamphlets promoted the romance and beauty of Yosemite, and contained photos and writing by John Muir (1838-1914), founder of the Sierra Club."
"Society for the Promotion of Nature Reserves","Organization","Compiled lists of areas deserving protection and raised funds to purchase land for conservation.","United Kingdom","A UK conservation group established in 1912 that later became the Wildlife Trust.","In the UK, the Society for the Promotion of Nature Reserves (est. 1912), later to become the Wildlife Trust, compiled a list of areas that deserved protection and raised money to purchase land."
"Royal Society for the Protection of Birds (RSPB)","Organization","Managed a growing network of nature reserves, eventually overseeing fifteen reserves by 1941.","United Kingdom","A UK bird‑conservation charity founded in 1889. UK charity dedicated to bird conservation and wider environmental protection.","The Royal Society for the Protection of Birds (RSPB) (est. 1889) did not purchase its first nature reserves until 1930, but by 1941 it was managing fifteen reserves."
"Council for the Preservation of Rural England (CPRE)","Organization","Focused on the planning system and secured early statutory restrictions on town and country development.","United Kingdom","A British advocacy group founded in 1926, now known as the Campaign to Protect Rural England.","In the 1930s and 1940s, the Council for the Preservation of Rural England (CPRE) (est. 1926; now the Campaign to Protect Rural England) focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"National Audubon Society","Organization","Led early campaigns against hunting for bird plumage, mirroring UK efforts to stop the use of plumes in women’s hats.","United States","A US bird‑conservation organization founded in 1905, named after naturalist John James Audubon. S. U. organization dedicated to bird conservation and habitat protection.","The National Audubon Society (est. 1905) took its name from John James Audubon, the author of Birds of America (1840)."
"Izaak Walton League","Organization","One of the early twentieth‑century environmental NGOs that campaigned for wildlife and habitat protection.","United States","An American conservation organization founded in 1922. S. U. conservation organization focused on wildlife and natural resources.","Other environmental organisations active today, but established in the first half of the twentieth century, include the Izaak Walton League (est. 1922)..."
"The Wilderness Society","Organization","Participated in early twentieth‑century campaigns to conserve wild lands.","United States","A US nonprofit founded in 1935 dedicated to protecting wilderness areas.","...the Wilderness Society (est. 1935)..."
"National Wildlife Federation","Organization","Engaged in early environmental advocacy and land‑conservation efforts.","United States","A US conservation organization founded in 1936. One of the largest wildlife‑conservation organisations in the United States. S. U. conservation organization.","...National Wildlife Federation (est.1936)..."
"Defenders of Wildlife","Organization","Joined the wave of mid‑twentieth‑century environmental groups campaigning for species protection.","United States","A US wildlife‑conservation NGO founded in 1947.","...Defenders of Wildlife (est. 1947)."
"American Students for a Democratic Society","Organization","Recruited members across university campuses and contributed to the broader counter‑cultural climate that gave rise to the modern environmental movement.","United States","A US student activist organization active in the 1960s.","the American Students for a Democratic Society recruited members across university campuses."
"World Wildlife Fund","NGO","One of the first major environmental NGOs that helped launch the modern planetary health movement.","Switzerland","International conservation organization founded in Switzerland in 1961, now known as the World Wide Fund for Nature.","World Wildlife Fund in Switzerland (WWF) (est. 1961; now the World Wide Fund for Nature)"
"Environmental Defense Fund","NGO","Filed lawsuits to halt environmentally harmful projects and campaigned for a national DDT ban.","United States","U.S. environmental organization founded in 1967, active in litigation and policy advocacy.","Environmental Defense Fund (EDF) (est. 1967)"
"Natural Resources Defense Council","NGO","Participated in early legal actions and policy campaigns for stricter pollution control.","United States","A US‑based environmental advocacy organisation with a large online activist community. S. U. environmental advocacy group founded in 1970.","NRDC (est. 1970)"
"Tom Burke","Individual","Described himself as an ‘environmental politician’ and helped shape FoE UK’s advocacy strategy.","United Kingdom","Director of Friends of the Earth UK from 1975 to 1979.","Tom Burke, Director of FoE UK (1975-79), described himself as an 'environmental politician'."
"Les Amis de la Terre","NGO","Fielded a candidate for the Mouvement d'Ecologie Politique in the 1981 French presidential election.","France","French branch of Friends of the Earth.","FoE UK's sister group in France, Les Amis del la Terre, fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique"
"Brice Lalonde","Individual","Ran as a candidate for the Mouvement d'Ecologie Politique in the 1981 French presidential election.","France","French environmental activist and politician, born 1946.","Les Amis del la Terre, fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique"
"Mouvement d'Ecologie Politique","Organization","Provided a political platform for environmental candidates such as Brice Lalonde.","France","French green political party formed in the early 1980s.","fielded Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique"
"Miljöpartiet de gröna","Organization","Secured parliamentary seats, bringing environmental issues to the national political agenda and demonstrating the viability of green parties.","Sweden","Sweden's Green Party, one of the first green parties to achieve national electoral success in Europe.","Sweden's Miljöpartiet de grõna was among the first green parties to secure national electoral success in Europe."
"Finnish Green League (Vihreä liitto)","Organization","Achieved parliamentary representation and became the first green party in Western Europe to join a national government, advancing environmental policy at the state level.","Finland","Finland's green political party that gained parliamentary recognition and entered a national government.","the Finnish Green League (Vihreä liitto) secured parliamentary recognition in 1991, and became the first green party in Western Europe to enter a national government in 1995."
"Mikhail Gorbachev","Individual","His leadership period provided a context in which environmental activism was used as a relatively safe means to criticize the Soviet regime, influencing green mobilization in communist countries.","Soviet Union","Leader of the Soviet Union from 1988 to 1991.","During the Soviet leadership of Mikhail Gorbachev (b. 1931) (1988-91), environmental activism in communist countries was seen as a safe way of criticising the Soviet regime"
"Bündnis 90/Die Grünen","Organization","Serves as the primary parliamentary vehicle for green politics in Germany, influencing legislation on economic growth, nuclear power, and social justice.","Germany","Germany's most successful environment‑focused political party, formed from a merger of West and East German green groups.","The most successful European environment-focused political party is Bündnis 90/Die Grünen, which grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"West German Green Party","Organization","Provided the foundational platform and grassroots activism that later evolved into the national German Green party.","Germany","The original green party founded in West Germany in 1979, later merged into Bündnis 90/Die Grünen.","the West German Green Party (est. 1979) ... grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993."
"Petra Kelly","Individual","Helped establish the German Green movement and engaged in international political campaigning, notably in the USA.","Germany","Co‑founder of the West German Green Party and early green activist.","Petra Kelly (1947-92), one of its founders, was involved in political campaigning in the USA."
"Daniel Cohn‑Bendit","Individual","Acts as a leading advocate for green politics across France and Germany, linking historic student activism to contemporary environmental movements.","France","Prominent green campaigner in France and Germany, former student leader of the 1968 protests.","Daniel Cohn-Bendit (b. 1945), now a leading green campaigner in France and Germany, was a student leader involved in the 1968 attempt to overthrow the French government."
"Joschka Fischer","Individual","Participated in radical and revolutionary groups of the 1960s‑70s and later helped bring green ideas into mainstream German politics.","Germany","German politician, future Foreign Minister and Vice Chancellor, early member of the green movement.","He, along with Joschka Fischer (b. 1948), a future Foreign Minister and Vice Chancellor of Germany, were associated with a number of radical and revolutionary groups in the 1960s and 1970s."
"Green Party of England and Wales","Organization","Advocated anti‑nuclear positions and contributed to environmental campaigning, though with limited electoral success.","United Kingdom","UK political party that evolved from the People Party (1975) → Ecology Party (1975) → Green Party of England and Wales (1990).","The People Party, which changed its name to the Ecology Party in 1975 and later to the Green Party of England and Wales in 1990, held explicit anti-nuclear stances but had little electoral impact."
"Campaign for Nuclear Disarmament (CND)","NGO","Co‑organised a large anti‑nuclear protest in the UK after the Chernobyl disaster.","United Kingdom","British advocacy group campaigning for nuclear disarmament and non‑violent conflict resolution.","FoE and the Campaign for Nuclear Disarmament (CND) organised a protest in the UK attended by 100,000 people."
"UK Conservative government","Government","Its declining popularity contributed to public opposition to nuclear power and environmental policies.","United Kingdom","The ruling centre‑right party and its administration in the United Kingdom during the late 1980s.","a decline in the popularity of the UK Conservative government, driven by growing opposition to the Community Charge, also known as the Poll Tax, was combined with public concern over nuclear power and the depletion of the ozone layer."
"Sara Parkin","Individual","Mobilised public discontent over nuclear energy and environmental issues in the late 1980s.","United Kingdom","Co‑secretary and spokesperson for the UK Green Party, environmental activist and politician.","Sara Parkin (b. 1946), co-secretary and spokesperson for the UK Green Party, was able to mobilise this discontent."
"UK Green Party","Organization","Gained significant voter support in the 1989 European Parliamentary Elections and later entered national government coalitions.","United Kingdom","Political party in the United Kingdom focused on ecological sustainability, social justice and grassroots democracy. Political party in the United Kingdom that promotes green politics and sustainabili...","In the 1989 European Parliamentary Elections, the UK Green Party won the support of 2.2 million people - equivalent to 15 per cent of the vote."
"European green parties","Coalition","Collaborate in national government coalitions and hold a strong presence in the European Parliament.","Europe","Collective of Green political parties across Europe.","Today, European green parties collaborate in national government coalitions and have a strong presence in the European Parliament."
"World Wide Fund for Nature (WWF)","NGO","Co‑led global environmental campaigns and pioneered modern fundraising strategies for conservation projects.","International","International conservation organization focused on protecting wildlife and habitats.","Greenpeace, FoE and WWF were at the forefront of many of these campaigns, aimed at influencing national governments and global institutions such as the UN."
