Title,Year,Type,Significance,Description,Supporting_Text
"Live Earth concert organized by Al Gore",2007,"Other",,"Al Gore held a Live Earth concert to raise public awareness and mobilise action against climate change.","2007 Al Gore holds a Live Earth concert to raise awareness to combat climate change"
"Publication of IPCC Fourth Assessment Report",2007,"Publication",,"The Intergovernmental Panel on Climate Change released its fourth comprehensive assessment of climate science, impacts and mitigation options.","2007 ... IPCC publishes its fourth assessment report on climate change"
"Adoption of the Climate Change Act by the United Kingdom",2008,"Policy",,"The UK became the first country to pass a legally binding Climate Change Act, committing to reduce carbon emissions according to set targets.","2008 UK adopts the world's first Climate Change Act with a legally binding commitment to reduce carbon emissions"
"Launch of the Global Green New Deal by UNEP",2008,"Policy",,"The United Nations Environment Programme introduced a Global Green New Deal initiative aimed at integrating ecological sustainability into economic recovery plans.","2008 ... UNEP launches a Global Green New Deal"
"COP 15 climate change talks in Copenhagen",2009,"Conference",,"The 15th Conference of the Parties (COP 15) to the UNFCCC convened in Copenhagen, Denmark, to negotiate international climate agreements.","2009 COP 15 climate change talks held in Copenhagen (Denmark)"
"Publication of Prosperity Without Growth by Tim Jackson",2009,"Publication",,"Economist Tim Jackson released the book *Prosperity Without Growth*, presenting an alternative framework for economic wellbeing beyond GDP growth.","2009 Tim Jackson publishes Prosperity Without Growth"
"Introduction of the Climate Change Bill by President Obama",2010,"Policy",,"U.S. President Barack Obama formally introduced a legislative Climate Change Bill aimed at reducing greenhouse‑gas emissions.","2010 US President Obama introduces the Climate Change Bill"
"BP Deepwater Horizon oil spill in the Gulf of Mexico",2010,"Other",,"The Deepwater Horizon drilling rig exploded, causing a massive oil spill in the Gulf of Mexico, one of the worst environmental disasters in U.S. history.","2010 ... BP Deepwater Horizon oil spill in the Gulf of Mexico"
"COP 16 climate talks in Cancun",2010,"Conference",,"The 16th Conference of the Parties (COP 16) to the UNFCCC was held in Cancun, Mexico, continuing negotiations on global climate policy.","2010 COP 16 UN climate talks take place in Cancun Mexico"
"Election of Caroline Lucas as Britain's first Green Party MP",2010,"Other",,"Caroline Lucas became the first Member of Parliament elected for the UK Green Party, marking a milestone for green politics in Britain.","2010 ... Caroline Lucas is elected as Britain's first Green Party Member of Parliament"
"Publication of Towards a Green Economy report by UNEP",2011,"Publication",,"UNEP released the *Towards a Green Economy* report, outlining pathways for integrating environmental sustainability into economic planning.","2011 UNEP publishes Towards a Green Economy report"
"Abolition of the Royal Commission on Environmental Pollution and the Commission on Sustainable Development by the UK coalition government",2011,"Policy",,"The UK coalition government dissolved two major advisory bodies: the Royal Commission on Environmental Pollution and the Commission on Sustainable Development.","2011 UK coalition government abolishes the Royal Commission on Environmental Pollution and the Commission on Sustainable Development"
"Earthquake and tsunami threaten nuclear power plants in Japan",2011,"Other",,"A major earthquake and subsequent tsunami raised concerns about the safety and operation of Japan's nuclear power facilities.","2011 An earthquake and tsunami threaten the operation of nuclear power plants in Japan"
